,n_estimators,max_depth,learning_rate,colsample_bytree,R2,MAE,RMSE
6,500.0,5.0,0.07,0.5,0.5354679726052536,30.28998588152051,40.046420012663056
7,500.0,5.0,0.07,0.7,0.5345627731973812,30.33265295711098,40.087547552455476
12,500.0,8.0,0.03,0.5,0.5355994679451034,30.394300556971693,40.083147308997646
13,500.0,8.0,0.03,0.7,0.5346153163872752,30.399388062769752,40.11919446572319
11,500.0,5.0,0.1,0.9,0.5323408281981062,30.418119543510173,40.17576254737789
15,500.0,8.0,0.05,0.5,0.533027765265081,30.420380767418152,40.16265498765739
24,500.0,10.0,0.03,0.5,0.5333448723068445,30.420432439285236,40.19550719766196
19,500.0,8.0,0.07,0.7,0.531493133095759,30.42390311395311,40.214805457346344
16,500.0,8.0,0.05,0.7,0.5327503713797505,30.42548594274014,40.16740413500571
9,500.0,5.0,0.1,0.5,0.5319015393689761,30.42743901279414,40.19135425029793
10,500.0,5.0,0.1,0.7,0.5305168143689537,30.435646146801314,40.25566804405285
8,500.0,5.0,0.07,0.9,0.5319877080628461,30.43990446099103,40.19609582532705
17,500.0,8.0,0.05,0.9,0.5338696203491289,30.440917877613142,40.121212863372094
4,500.0,5.0,0.05,0.7,0.5330835978128216,30.454756752017495,40.16795329903279
18,500.0,8.0,0.07,0.5,0.530463793559326,30.46465016577255,40.252798611796266
25,500.0,10.0,0.03,0.7,0.5324245219010285,30.47302585751812,40.227777395599006
3,500.0,5.0,0.05,0.5,0.5316164386205757,30.515623735807342,40.23521960942477
14,500.0,8.0,0.03,0.9,0.5313655767874312,30.531267212627295,40.245873166672396
27,500.0,10.0,0.05,0.5,0.5284162734333185,30.569094584580128,40.36739249182856
5,500.0,5.0,0.05,0.9,0.5309289674180956,30.584962627269412,40.258382755608025
26,500.0,10.0,0.03,0.9,0.5286990500660447,30.58830194534217,40.365249472105035
36,500.0,12.0,0.03,0.5,0.5287295731954977,30.59300524473417,40.418880430661204
28,500.0,10.0,0.05,0.7,0.5263627500941215,30.605041183226426,40.44208257804577
20,500.0,8.0,0.07,0.9,0.5280382735944017,30.609053461728486,40.35550368067262
30,500.0,10.0,0.07,0.5,0.5242308515500649,30.658192273879745,40.52444941710361
29,500.0,10.0,0.05,0.9,0.5239712534981075,30.72780640814572,40.53947860710647
37,500.0,12.0,0.03,0.7,0.5257808481524241,30.73343441951424,40.530649471128804
21,500.0,8.0,0.1,0.5,0.5239308578354049,30.73615528046542,40.533049139934135
39,500.0,12.0,0.05,0.5,0.5235865018848981,30.744533210235023,40.59512135394122
23,500.0,8.0,0.1,0.9,0.5218941957021822,30.754174286161152,40.61885652417325
32,500.0,10.0,0.07,0.9,0.5224152305063078,30.7718286479051,40.59430570904787
38,500.0,12.0,0.03,0.9,0.5230360273724055,30.80737256135733,40.61818440461211
40,500.0,12.0,0.05,0.7,0.519600836171881,30.819128413925466,40.74877698653393
31,500.0,10.0,0.07,0.7,0.5208707393719066,30.82279837331954,40.66021509151494
22,500.0,8.0,0.1,0.7,0.5223519199074514,30.859708477452912,40.597550368064496
1,500.0,5.0,0.03,0.7,0.5249609236858368,30.861659506263205,40.569132773097785
0,500.0,5.0,0.03,0.5,0.5233266092338552,30.88852840299359,40.63649458109059
2,500.0,5.0,0.03,0.9,0.5232977397118358,30.936915822058975,40.62996124494387
48,500.0,15.0,0.03,0.5,0.5203158263480743,30.967895049931773,40.83793516403012
41,500.0,12.0,0.05,0.9,0.5171698705636772,30.986426181018786,40.83651234551895
35,500.0,10.0,0.1,0.9,0.5122582354314228,30.995573236258036,41.01623394140836
33,500.0,10.0,0.1,0.5,0.5154994762667963,31.002310201756377,40.88332685137846
34,500.0,10.0,0.1,0.7,0.5155263402610282,31.006880370207753,40.879908916849274
42,500.0,12.0,0.07,0.5,0.516123601314438,31.03816851297751,40.887165241049736
49,500.0,15.0,0.03,0.7,0.5143248673519516,31.076439730290556,41.0436854685738
51,500.0,15.0,0.05,0.5,0.5126851909309693,31.109241049519174,41.10607863051466
44,500.0,12.0,0.07,0.9,0.5129378725058679,31.11837439913667,41.00072052595674
43,500.0,12.0,0.07,0.7,0.512845342098543,31.149804851082983,41.015689645403
50,500.0,15.0,0.03,0.9,0.511990043004243,31.159120564849562,41.115883035602536
52,500.0,15.0,0.05,0.7,0.5102933708673081,31.211465096066764,41.178181339807814
47,500.0,12.0,0.1,0.9,0.505891520446952,31.25519915988376,41.28245758711399
53,500.0,15.0,0.05,0.9,0.5074203493778544,31.347477662584172,41.28128508610571
45,500.0,12.0,0.1,0.5,0.5055246959251098,31.353739193615688,41.300273863390494
46,500.0,12.0,0.1,0.7,0.5052579153644267,31.385710913569547,41.3120899456151
54,500.0,15.0,0.07,0.5,0.5029874640794582,31.51604750857629,41.46763109852407
55,500.0,15.0,0.07,0.7,0.5014322787885724,31.5260487358402,41.5150029931805
56,500.0,15.0,0.07,0.9,0.5024021892490744,31.54022408908542,41.47442906917741
58,500.0,15.0,0.1,0.7,0.4929616630382363,31.725082536441324,41.83904129460849
59,500.0,15.0,0.1,0.9,0.4929560689536403,31.73555460612242,41.83844131906335
57,500.0,15.0,0.1,0.5,0.4919902009969113,31.80304510062973,41.87979015769694
